Country,Year,Population
China,2007,507451500
Australia,2012,455148882
India,2012,446951797
USA,2013,1067533813
Japan,2000,1107766464
UK,2008,1471862033
France,1995,920668521
India,2009,1439537354
India,2004,1011999166
Germany,2019,757500619
Canada,2007,1120863838
Germany,2004,720742477
Germany,1999,312791664
India,1996,551482229
Australia,2015,167960720
USA,1991,1125235889
Brazil,1991,244433540
France,1991,160774620
India,2008,549709251
Canada,2019,481639954
Brazil,2004,1201540697
India,1993,633456470
Japan,1992,1380577040
Japan,1995,692387949
USA,2002,74913715
Japan,2019,999844894
USA,2019,501097871
Canada,1999,255823805
India,2016,563168032
Canada,1994,1402933502
China,2021,599207790
France,1996,546485744
Japan,2021,1163689199
UK,2000,1118203381
UK,2005,654844898
France,2022,822881497
China,2022,1224197364
Germany,1990,1168022224
Germany,1991,668777265
Canada,2001,889649582
Canada,1995,388046372
Canada,2007,1514303166
India,1994,1292296576
USA,1993,382794883
India,1991,1371519416
Germany,1998,1474241474
Canada,2005,568218522
UK,1993,567076666
USA,1990,898693214
Japan,2015,1310047259
UK,2022,1434192122
UK,1992,1474295056
India,1999,1467219310
India,2016,685159627
Japan,1994,55703903
Germany,2005,714696849
USA,2005,18209218
Australia,2012,1320549626
China,1996,217018697
Brazil,1997,1320093151
India,1997,1033980365
Germany,2019,356725967
France,2001,1000792768
USA,2015,57539628
India,2016,655050604
Canada,2004,115874727
Australia,2012,128991705
Australia,2015,555113506
Canada,2001,286022915
India,1994,461721878
China,2022,29649652
Canada,1996,1481586444
India,2009,513123413
Germany,1996,982588113
Brazil,2006,878503415
India,1992,656701202
India,1993,610975786
Germany,2018,579820040
Canada,1994,423570730
UK,1992,261987488
Germany,2022,421491905
Brazil,2021,732222682
Brazil,2013,380722720
Canada,2017,155815314
China,2024,208958295
China,1999,811802772
Brazil,1998,271395010
Australia,2010,1348626536
Brazil,2001,799057681
Canada,2011,1425696971
China,1990,1273378770
China,2010,612621730
USA,1996,230826302
Brazil,2016,331156692
India,2020,1407561751
France,2021,1489921250
Canada,2001,1107100812
India,1998,142344494
Japan,2021,608176475
Canada,1999,490125502
USA,2021,1000502874
France,2016,127716579
France,2014,922581229
China,2015,1438578840
Brazil,2010,67374085
Canada,2024,454631953
Australia,1993,307585281
Germany,2010,173064528
Canada,2006,677407646
China,1992,694311719
Australia,2014,30880172
Germany,2000,727139402
Australia,2014,472801732
China,2016,1000505118
Brazil,2006,473636849
Australia,1990,473117221
Canada,2008,1272084355
China,2008,810875000
Germany,2023,1378242493
India,2014,509165445
China,2011,1339837214
Australia,2003,948685959
USA,1994,1073507309
Japan,1996,1200387636
France,2003,1392512221
Brazil,2001,1144024554
India,1995,1498421385
UK,2018,121140936
India,2020,938513486
USA,2006,1229592582
Canada,1999,90138604
Germany,1996,662479729
Australia,2016,254237031
China,2024,1327007071
Australia,2006,1017235580
Brazil,2024,295184480
India,2008,781994335
Canada,2014,1192857085
UK,2003,1152733425
Brazil,1995,242544746
Brazil,1999,641327747
Brazil,2002,625540938
Australia,2004,1154894298
USA,2000,657121967
China,1997,237864447
Germany,1998,864339912
UK,2005,1486999113
Canada,1995,1385131432
China,2006,1105188873
Germany,2013,780092099
Canada,2022,542621008
USA,2021,71061963
UK,2016,1290358802
Canada,1994,474394942
UK,2017,213785109
Canada,2008,113926083
China,2011,825862967
France,2004,570463219
China,2020,143301719
China,2005,339788602
UK,2022,520093376
USA,2014,1269698932
China,1990,371322458
Australia,2024,1086596086
Japan,2023,1159884902
Germany,2021,1367829950
China,1999,1282086014
Brazil,2016,1201245759
Canada,1991,494325375
Japan,2002,1309602941
China,1994,38274673
France,1997,499262057
Australia,1993,546014399
Germany,2017,1236423774
India,2011,270374016
UK,2006,95103128
Canada,2022,472612253
Brazil,2016,891364679
Australia,2023,941184519
Brazil,1996,600433103
Brazil,1991,1115487554
Canada,2001,702274440
Germany,2024,80898858
Australia,1997,78964393
India,2010,1342432884
Canada,1996,184420612
UK,2008,330044233
USA,2022,1003962764
France,2011,1272267268
France,2000,1372449596
Germany,2012,1033299560
Japan,1995,1399685526
India,2021,27319057
Germany,2009,585003133
Germany,1991,1171510592
Japan,1992,469027888
Germany,2001,1476884289
UK,2009,1238970587
UK,2014,202528878
UK,2000,899433523
USA,2016,1070308907
France,2003,1454131282
Australia,2015,1447023875
China,1995,545217089
Canada,1992,1302796956
Brazil,2000,489227045
Australia,2008,153001524
Brazil,2008,448523864
France,2019,61457688
India,2024,1278912579
India,1997,1392121898
China,1998,1186684366
Germany,2005,1254514900
Japan,2016,550820416
Germany,2005,588987639
Australia,2018,640302984
USA,2010,970617677
USA,2024,1177558737
China,2024,127028656
Japan,2023,1039791619
France,2003,1425695372
China,1995,277347049
Germany,2023,640159406
Australia,2016,1108881793
Brazil,2000,698391680
USA,1990,952638190
France,2019,446862758
Australia,2000,1078504095
China,2000,1080801221
UK,2006,775435180
Brazil,1991,1209086386
UK,1999,1296912330
France,2011,1422097087
China,2024,523056712
Germany,1999,150410290
UK,2024,141157953
Canada,1995,1025145975
India,1994,40315089
Japan,1996,1457045855
Brazil,2005,191205969
Germany,2003,579258281
Brazil,2000,607990158
Australia,2001,555630701
UK,2023,921831254
Brazil,2021,689730512
Canada,1991,256067828
China,2004,613735503
Japan,2012,1444241637
Japan,1997,1382862539
Japan,2019,154429808
China,1998,1163264602
France,2020,1147970687
Japan,1992,133929670
Japan,1993,336782507
UK,2018,439453301
USA,2008,1014453283
India,2001,273460043
Canada,2008,211806628
India,2023,719616242
China,2023,774376018
France,1991,982027394
Brazil,1991,969674989
Germany,1999,1386036413
Brazil,2008,73066949
France,2002,1512053628
Brazil,1991,1450788704
Australia,2007,1443336262
France,1991,673666241
Germany,1994,310069962
Germany,1996,554038154
Brazil,2015,59014969
China,2009,330613121
Canada,2000,882668926
India,2011,1265041686
China,2001,1070079165
UK,2022,1267623576
Canada,2024,564103364
China,2024,1423704366
Canada,1995,1091128841
Brazil,1999,561107018
China,1997,147469809
China,2002,143182260
USA,1995,1427281901
Japan,2021,11285089
Canada,2012,1126406607
India,2004,426031869
Japan,2024,972923187
China,2022,1034280157
USA,1996,660526376
Australia,2001,438323287
Brazil,2018,557876611
Japan,2014,1429105098
Brazil,2024,1496152816
Australia,2016,876992519
Canada,1990,1050025126
Brazil,2002,822725996
UK,2000,871132139
Canada,2009,1421636945
UK,1998,589336086
France,2024,1309569258
Japan,2016,1328470291
USA,2003,1049694377
Germany,2020,1186104049
Brazil,2016,1108331743
USA,2009,35021403
Brazil,2024,1447612386
USA,2003,1367147354
USA,2016,1237036496
Brazil,2024,1242348966
USA,1998,1373650177
Brazil,1991,1358266007
UK,2004,1133305493
Australia,2013,340313603
France,1999,1490921909
Brazil,2021,633658308
China,2004,110052580
Canada,2013,64200844
China,1992,978031548
India,2014,1527700890
China,2006,631079387
UK,2019,1392651541
Germany,1990,547626726
USA,2003,58269096
India,1996,171806312
UK,2009,747663541
Germany,2008,83395250
Germany,2012,382714855
India,2017,1168454310
Canada,1990,1142519431
Canada,1995,26984390
France,2014,772501320
UK,2007,1099718346
France,2003,716723744
UK,2012,1159750102
Germany,1999,935693106
France,2020,245768145
Brazil,2018,1343222487
China,2011,645671512
France,2019,1076470402
China,2019,519086612
Canada,2020,782585735
Brazil,2011,1126639497
Japan,2017,773282066
China,2003,1339882563
Germany,1996,1176637858
Brazil,2014,136852127
Australia,1999,929596350
Australia,2010,774986277
Canada,2008,1362870249
China,2014,1506971935
Australia,2020,187917323
UK,1996,1135179497
Brazil,1999,1116160178
Canada,2004,1116498132
China,2007,1421867124
Brazil,2020,493744292
Brazil,2005,1010715266
USA,2008,872691498
Germany,2020,906119056
Germany,2006,1465329076
France,2018,795182551
China,2009,805179857
Germany,2003,503793350
Japan,2007,901899362
UK,1999,1219558525
Canada,2016,1319682539
UK,1992,1317212227
Japan,1992,506527376
USA,2019,1229501715
USA,2023,218528080
Germany,2012,1190568080
China,2003,1077894505
Canada,2016,670378685
Germany,1997,249087478
UK,2021,55826399
Germany,2003,346660955
France,2001,503047444
Germany,2006,1349141963
UK,1999,1479044387
Australia,2016,359206276
UK,2018,1009735967
India,2019,582495637
USA,2010,40643619
Canada,2010,176624004
Canada,2013,117818521
UK,1995,805596675
Brazil,2015,1490042862
UK,2019,1300661886
Canada,2011,59466809
UK,1991,1004495284
UK,1994,237605620
China,2002,40835177
China,2021,886026171
Japan,2008,1087296804
Germany,2004,1327833038
Brazil,1995,314235396
USA,2000,1165876415
France,2021,126535110
China,2009,41066485
France,1991,218971089
Australia,2003,138159330
UK,2018,1249200935
Brazil,1998,259020712
France,2006,1417936546
France,2009,819594657
Germany,2014,700432081
France,2024,1283391888
USA,2012,338075958
Brazil,1993,988707426
Brazil,1996,655519808
Canada,2010,744254192
France,1992,924586390
Germany,2021,65774222
UK,2006,279113102
Canada,2021,1387586566
China,2004,1272062995
Australia,2000,547940081
Brazil,1991,819876303
France,2006,316666277
Australia,1994,1436526318
UK,2016,726608689
Brazil,2014,336518317
Japan,1991,90248735
Germany,2000,1350575927
Germany,2016,955997206
India,1990,1230658068
Brazil,1995,1377586813
UK,2008,816362838
UK,2004,728312775
Australia,2003,417412663
Germany,2010,339722937
Germany,1996,468151840
China,1999,740639159
Canada,2012,490615467
Australia,2011,1119895267
Brazil,2016,532918858
Germany,2023,16559355
Japan,2010,437710563
India,1995,602257410
USA,2004,194914280
USA,2003,730200398
UK,2004,644857900
Brazil,2018,368888669
India,1993,332424729
USA,2018,940841331
Australia,2015,421254745
China,2003,256424038
India,2011,201259973
Japan,1993,770701034
France,1994,469162017
UK,1992,379496834
India,2014,201822825
Australia,2024,610317749
Australia,2024,875939435
UK,2002,942178671
China,2008,627805066
France,1993,131254423
France,2015,1099858279
China,2006,492862454
China,1992,1456107822
Canada,2005,327509748
China,1997,409438041
USA,2012,983574644
USA,2015,676668289
France,1999,1484070357
Brazil,1998,95626872
France,2024,591356397
UK,2017,441493812
Brazil,2011,402172744
China,2003,912090565
Australia,1997,1531696227
Canada,2015,691896735
USA,1996,468797085
India,2000,149809375
Japan,2024,1448743810
USA,2016,510933206
India,2009,1484625146
Canada,2004,611812481
USA,2024,1096898032
India,2024,464683910
Brazil,2010,36320866
China,1997,387439853
Australia,2005,1449316433
USA,2014,824015733
Canada,2023,701095672
USA,2005,1452432410
Australia,2023,1493865949
UK,2012,1403111613
USA,2020,443106375
China,2006,884589708
Australia,2024,1480343520
Australia,2019,695782598
India,2021,222581877
Japan,2008,1190299061
UK,2001,1447216236
UK,2004,578031404
Australia,2019,1302019911
France,2009,51445263
UK,2005,1177418243
Australia,2003,49247128
Japan,2002,988881479
Japan,1996,898225048
Brazil,2009,282666795
Brazil,2018,1041361209
Australia,2014,88290357
Brazil,2013,1237770355
Japan,2001,195428844
Australia,1999,1208855951
France,2006,103079663
UK,2019,883592796
China,1998,870268671
Germany,1996,466361104
Australia,2000,906959895
Brazil,2001,727909635
Australia,2022,828704257
Brazil,1995,1193663170
USA,2018,1048393745
UK,2019,274921211
USA,2009,417486918
Brazil,1992,999892529
Japan,2011,700891556
Australia,1996,809361696
UK,1990,731760309
France,2017,1186078380
Canada,2005,85756478
Germany,1992,1294680712
France,1992,842987259
USA,1995,1377848346
India,2001,38911847
China,1990,749820008
Australia,2017,1451263842
Germany,2000,391898227
China,1990,142461083
Australia,1993,720069045
Brazil,2013,988322506
Japan,2000,275599612
Brazil,1993,867528737
China,1991,1368736679
China,2020,1127535514
China,1990,176022592
India,2008,522170519
Canada,1998,210442046
Japan,1998,350220639
France,2002,1234959351
France,1996,71037673
China,2003,644904623
Canada,2002,346936819
China,2023,61410765
China,1990,37090388
Germany,2010,1418408141
France,2018,107216498
India,1995,1366173564
China,2022,1239332804
USA,1993,1112309306
Canada,2007,1447699372
USA,2002,478452554
Australia,1998,1408236790
Germany,2017,904494789
Japan,2012,1007772154
France,2006,502404046
Canada,2018,1329988980
China,2024,861434839
Canada,2023,946861385
USA,2008,1506563472
UK,2013,16756089
China,2004,239784993
Germany,2008,963837756
Japan,2002,1119690219
Canada,2012,641373044
Brazil,1991,79752084
USA,2023,1164357955
India,2022,570023641
Australia,2005,1159554658
France,2023,86631424
USA,1992,1018767924
India,2003,724909651
USA,1998,1400687692
USA,2015,327485076
India,2014,549233120
Canada,2012,1180323415
India,2009,1380611651
USA,1994,1070246824
Canada,2003,995252223
China,1998,85084592
USA,2018,609315327
China,2012,147851727
Germany,1997,82334323
USA,2008,1163499850
Japan,2005,1282294295
Canada,2016,611439322
Japan,2021,1476974226
Japan,2003,464027963
Japan,2018,1230777856
Brazil,2017,985113131
Japan,2005,1067719513
India,2012,304540996
Japan,2006,338437359
Canada,2016,13242689
Brazil,2013,698549750
India,2009,947656126
Japan,2021,201040942
Australia,1998,1148859002
Brazil,1992,1173858195
China,2013,1166996073
UK,2017,800783111
Brazil,1993,67633144
USA,2001,155733130
France,2023,497769993
Japan,2014,185416049
UK,2005,232075684
USA,2016,1176703839
Australia,2017,635848626
USA,2023,14014446
Japan,1993,343560309
USA,2012,80805101
Japan,1992,168814807
USA,2010,66468033
UK,2018,631203905
France,2002,604408441
Japan,1997,1254420479
USA,2004,571871143
China,1994,1332800297
China,1990,1251877465
Canada,2011,1123213956
Brazil,2005,73408901
India,2020,498861521
China,2010,142718820
India,2009,1198079751
Japan,2005,867741166
Brazil,1999,101004916
Canada,1997,1189655294
Australia,1993,601858501
Japan,2023,778683362
France,2007,1289384687
France,1997,330306052
Canada,2021,1174871548
Brazil,2018,57439179
Australia,2020,941470059
France,2008,511344671
USA,2006,689109266
Germany,2020,1061655312
UK,2011,524807871
UK,2024,1275476058
UK,2019,1296968613
Germany,2000,776484514
Germany,1995,1391302059
USA,2021,540438932
France,1991,21031627
India,1999,122426529
Australia,2019,330257760
India,2002,345465929
Japan,2013,1452735161
Australia,1993,674501334
Brazil,2006,98979859
USA,2007,731778619
USA,2012,849762829
France,1998,626822294
Brazil,1991,845842700
UK,1997,1238739872
Brazil,2005,1231411492
Brazil,2008,916831193
Australia,2024,903528912
USA,1994,1121398194
India,2009,256544899
Canada,2015,1224041278
China,1990,243514237
Japan,2022,1406704504
China,2012,930650677
China,2002,753307671
UK,2007,1229806956
France,2006,805075296
France,2000,947816453
USA,2012,377808486
Germany,2007,1325397119
China,2005,1012722932
Brazil,2010,952433177
China,2023,973037152
Brazil,2014,187272924
Brazil,2022,648194943
UK,2020,1488835241
China,1990,1525811680
France,2005,563740578
USA,2005,136319806
Brazil,2011,85968045
UK,1994,429905628
India,2010,666410120
Australia,2000,546043777
Australia,2019,135351236
Germany,2007,1314863173
India,2011,94268047
Brazil,2008,502677695
India,1997,1004935084
USA,2017,656180549
Germany,2007,1475220700
Canada,1992,1372967032
France,2001,460657712
Brazil,1992,18924751
UK,2020,481590947
Brazil,2020,528841314
Australia,1999,1424371141
USA,2005,852602813
USA,1996,58657727
Japan,2002,344422081
Brazil,2011,1101540389
Australia,1991,584414657
Australia,2009,54595864
USA,2008,305171357
USA,1990,755171336
India,1998,1108090778
USA,1995,1399822141
India,2005,1131976192
India,1994,1257107754
India,2014,391556300
Japan,2003,1175266053
Germany,1994,217463159
China,2011,291713727
India,1991,430857037
UK,2016,1079449570
France,2024,1440866589
Brazil,1991,1469621247
UK,2017,269865403
France,2011,1474191610
Canada,2015,1431224011
France,1999,511118724
USA,2022,351320950
Canada,1992,1355198976
USA,1995,475564420
Germany,2014,1412836852
Australia,2001,751786480
Canada,2005,1352162926
Germany,2020,364445305
Germany,2019,1410028191
India,2013,1479011496
UK,2002,924138929
Canada,2004,1078380532
Germany,1992,1050692958
Canada,2005,781816253
Australia,2010,1093492634
Canada,1997,1354906445
India,2018,625861072
UK,2007,241624161
USA,2018,895904812
Australia,2009,1421256426
China,2001,535043938
Germany,1997,35315449
Australia,1995,450507864
USA,2012,450824850
China,2011,130992715
China,2022,394563010
Australia,1990,1010173119
Brazil,2011,897189469
India,2010,351522237
India,1991,745343258
USA,2004,25666087
France,2007,517393014
UK,2013,708499139
USA,2005,921966733
France,1998,1283202017
UK,2016,438007937
China,1996,603790656
Canada,2001,1307661829
USA,1994,1149264014
India,2002,505444462
USA,2024,8969046
Germany,2005,636266545
Japan,2023,1369996070
Canada,2014,884579840
Canada,2014,57298691
UK,1993,1481274847
Australia,2022,1214054451
China,2016,1380959014
Japan,2006,974891315
Japan,2020,367516678
China,2001,872411516
Germany,2001,665515545
India,2004,1109448332
Australia,2009,1410209961
Brazil,2009,1322082944
India,2024,378390176
USA,2020,559608473
Germany,2021,888817049
Germany,1992,338610442
India,2004,381296949
Japan,2001,1524048983
Japan,1995,1141413310
China,2002,482829247
Japan,2000,515408723
India,2008,1103764445
UK,1998,649574756
France,2004,701018793
China,1998,1538986120
China,2016,388002457
France,2023,1304164534
Canada,2007,735369983
India,2001,470780648
Japan,2004,1453396717
Germany,1991,964577611
Germany,2012,185575103
Germany,1997,1398873702
USA,2007,1147947337
Brazil,1993,1250777200
Canada,2015,538577961
Germany,1998,754861655
UK,1995,1081352850
Brazil,2019,421233176
France,2005,49748153
China,2012,1094698994
France,1990,633077979
France,2001,326181191
China,1992,636004349
USA,2010,1480407835
USA,2023,642826934
China,1993,866673739
Germany,2009,541428729
India,2004,530092095
UK,2016,68158761
France,2012,1433630811
Canada,2006,291294003
India,2023,1313847485
Brazil,1991,537663899
Germany,1994,1255707049
Canada,2018,1495524170
Japan,2023,766763286
India,1993,1220344347
France,2013,1289236102
Germany,1996,1110699912
UK,1994,1007903043
USA,1997,581431640
Canada,2024,240179867
Australia,2015,1426692908
India,2001,88064489
Japan,2021,553746644
UK,2006,1496492564
France,1996,85341633
India,1996,992402820
UK,1996,1053478871
India,2005,286773233
Canada,2014,825295701
Brazil,2015,553094783
USA,1999,780148811
Brazil,2019,171656027
Australia,1994,608520671
China,2014,653914492
Brazil,1990,62451928
France,2018,588646402
France,2000,98177801
UK,2001,86218420
USA,2012,372953055
Brazil,2015,1071035200
Germany,2019,1151996685
Australia,2013,1055909885
Canada,2023,97685146
Canada,2021,916699085
USA,2006,1395503790
India,2013,903017951
France,2010,623820966
India,1994,128384347
China,2021,28244596
China,2018,1452159409
France,2012,315188563
Brazil,1991,1247097221
France,1990,14924556
Australia,2013,188241472
China,2007,1278889560
Germany,2019,971324765
Australia,2016,1151166928
UK,2018,574224255
Germany,2024,908239043
Brazil,1997,464499306
France,2002,1135075281
India,2011,1444249166
Brazil,1998,644956467
India,2012,1328813240
USA,1995,372754116
Germany,2013,1443516504
Australia,2009,77752979
Canada,2004,203185392
Germany,2016,31204579
Australia,1994,1397676443
Brazil,2019,49026588
Canada,1999,706365002
USA,2004,443847290
Canada,1990,92942323
UK,1990,1390053871
Canada,1991,182779509
France,2010,712271982
India,2003,392326500
UK,2004,816271297
Germany,2013,366092798
Canada,2009,1334295424
Germany,2016,744748193
Canada,1993,1383650374
India,2015,237495224
Japan,2022,1357186804
Brazil,2016,1238811827
USA,2008,389482645
Canada,2014,183706572
Brazil,2024,532146405
UK,2015,452493424
UK,1995,372397891
France,2008,1098569832
China,1991,487183748
Canada,1991,927319713
India,2001,440829267
France,1993,722512223
France,2018,102740508
Canada,2003,1382624445
China,2011,1423592873
France,1999,195610620
Australia,2022,200371127
USA,2010,1056504678
France,2019,1383702066
USA,2011,338542630
Germany,2016,958411768
France,2006,204777016
China,2007,630639756
Brazil,2019,1284557823
Canada,1997,826535176
USA,2008,928773045
UK,1993,239653234
France,2014,907214495
Brazil,2020,237061543
Canada,2015,1125960256
India,2014,130716519
France,2015,1037753027
Canada,2008,1346058568
India,2003,228491639
India,1996,929119283
Germany,2015,388560998
Japan,2001,167382317
India,2021,1267890565
France,2019,1214688760
Canada,2023,559244082
USA,2014,620205804
Japan,2018,1457503954
USA,2010,1007171969
USA,1999,96078758
Canada,2017,141528363
India,2020,818869721
China,2011,1169954141
Australia,2002,1358304161
Australia,2023,1254027749
Japan,2024,1155090860
Brazil,2005,590971454
India,2002,443063137
China,2000,1226186219
Canada,2015,14240808
Germany,2014,1378412411
Japan,2018,1478426800
India,2004,459310560
China,2010,243370013
India,2017,585566628
India,2011,574577899
Germany,1995,61115651
China,2002,1300848069
Canada,2021,1274569316
Canada,1992,684418115
USA,2000,1531342064
France,1996,858180898
France,1996,635922223
Germany,2001,309577663
Canada,2000,188161265
Germany,2008,205419063
USA,2014,1527184486
Japan,2006,28068267
UK,2019,16583717
UK,2024,1232909113
China,1998,1219312771
UK,2019,858737687
Japan,1996,677666494
USA,1994,300412401
Canada,2010,476812359
UK,2008,1282358323
France,2004,1016996275
UK,2024,1308170772
China,2003,1420808805
Australia,2022,356860472
Germany,1994,625762149
China,1990,810726726
Canada,1994,447606056
France,2019,905465297
Japan,2009,1472860450
Canada,2006,1089751284
Germany,2020,452132243
Brazil,2020,1274001700
UK,1992,371995294
Australia,1993,743203033
China,2020,695183244
Germany,1999,1245177553
India,2018,626415097
India,1997,859917448
India,2003,548070528
Brazil,1999,666939145
USA,2012,933316399
Australia,2022,501013750
Australia,1998,218643057
Canada,1999,1001968156
Canada,2004,1253694604
Brazil,2003,1442374546
Australia,2003,1162622474
India,2006,351906510
Japan,2011,108804618
Australia,2007,112408426
Australia,1999,79228912
France,2018,712032056
France,1992,777734939
China,2011,1276841650
Australia,2005,319363029
Canada,1993,1500302180
Japan,2021,571890066
China,2022,1274407411
China,2016,1013124536
USA,1997,841187248
Australia,2000,1049278684
Japan,2012,473602630
France,2018,48896475
Canada,1995,1376480294
Brazil,1997,1381281287
Japan,1993,113753680
Australia,2009,1030576534
Brazil,1990,924132282
Brazil,2006,727784152
Germany,2017,1081115755
Canada,2021,1303141599
Brazil,2022,1238741462
UK,2021,117290945
USA,2010,142066363
Japan,2011,1303997746
France,2007,954191560
China,2010,61270454
China,1992,293887418
Australia,2015,538979658
Germany,2007,725053936
India,2009,1227896307
USA,2002,1409833590
Germany,2018,199601608
Japan,2020,984299410
Japan,2024,153964924
France,2006,392730618
China,2012,1436876451
Australia,2010,362377230
Japan,1997,948172168
Australia,2024,136077018
Japan,2011,329180428
China,2010,238003178
Germany,2003,1284120761
Australia,2011,1410988108
USA,2015,277848403
China,2009,1369306038
France,1993,484554074
India,2020,754126374
China,2010,1391211002
Japan,1996,546993785
USA,2022,1276483647
Australia,2000,193402676
UK,2008,328591186
Germany,2014,660085198
USA,2002,47720454
India,1991,929139657
Brazil,1990,1352521333
France,2010,1434136114
India,1997,817458030
Germany,2018,1008109237
India,2021,895693250
Brazil,2005,195131693
China,2006,1354807393
China,1998,565481623
Brazil,2004,1276777747
Japan,1996,996303880
USA,2020,678571578
Japan,2004,552878693
China,1997,799184385
Germany,2015,47926972
Germany,2003,134089705
Canada,2022,691812032
UK,2019,992622370
Canada,2021,609867449
Canada,1995,280137007
USA,2023,604748256
India,2002,83238627
Japan,2003,209485796
UK,2014,773757100
Germany,1994,278405098
China,2017,925159553
Australia,1990,1484388032
France,1997,903282614
India,1998,110979769
France,2004,727032277
India,2013,1087078718
UK,2004,411533024
Australia,2020,53829978
India,2010,939189715
UK,1993,598707378
Brazil,1991,32949497
UK,2009,504371388
China,1999,110172177
China,2009,666138715
India,2001,935808130
Brazil,2023,908349448
Japan,1995,349000823
USA,2017,1052841279
France,2018,1318459789
China,1992,1540301562
UK,2012,1121191437
China,1991,1142238568
Australia,2021,315805185
Canada,2012,1136516368
USA,2010,927602181
Brazil,1997,831106545
India,1999,1510793424
Australia,2012,779907733
UK,1996,1413102574
France,2013,304940810
Brazil,2013,446458125
China,2011,182935368
Brazil,2004,1008115092
Japan,1990,920108669
Australia,2021,59033936
USA,1992,389683323
India,1996,649173404
Australia,1994,1050881369
UK,2016,434688641
Brazil,2010,1104712594
Brazil,2024,877485608
USA,1996,952617652
Germany,2007,1181170936
USA,1998,899602387
Japan,2001,836108686
Canada,2024,428870917
Canada,2008,1062800318
UK,2016,452594658
India,1991,969107923
Brazil,2023,1290869497
USA,2002,964909510
Germany,2000,571624339
China,1994,852711378
Brazil,2011,1324648711
France,2002,145731698
China,2022,977083597
Canada,1990,574711833
Brazil,2011,218185422
China,2001,282448628
China,1996,397209843
Japan,1990,1422742585
Germany,2013,697202682
USA,2014,697923764
India,2010,1263327730
France,2020,602286882
France,2022,1037965202
China,2002,1264076387
India,2005,338811009
India,2007,1075046314
China,1991,1417303839
Japan,2009,44974080
Brazil,2024,1175893613
Brazil,1991,719499788
Germany,2006,109688299
India,1991,587560969
China,2009,115148427
Japan,1997,1102250399
Germany,2019,1293103624
Japan,1990,915067460
UK,2019,1232977160
Australia,1998,979689547
France,1999,725730820
USA,2017,195863299
UK,2024,118611387
USA,1996,685966430
France,2003,1465794609
China,1996,70889545
India,2014,974958259
India,1994,257902637
Australia,2013,1223798760
Japan,2021,628796450
Canada,1994,1246274790
Japan,2000,1449390474
Canada,2006,797509496
Japan,2009,902965777
USA,2024,1111926017
Brazil,1997,575666353
France,2003,512199254
Brazil,2016,984049022
UK,2007,874618626
China,2013,14353184
UK,2022,924577767
China,2018,727763218
USA,1999,1070404602
China,2015,883121738
Canada,2013,1359127632
Brazil,2014,1393857893
USA,1992,976452371
Canada,1996,573794184
Australia,2000,43969440
USA,2015,1499734013
China,1999,1468132038
Japan,2017,890936935
USA,2007,748018262
France,1991,746106793
USA,1997,86447840
USA,2024,428057745
Brazil,1993,1469462424
Canada,2023,426071567
Canada,2014,382528685
Canada,2017,721455843
France,1996,1205890546
France,2005,1211767175
UK,2004,1115723900
Brazil,2020,1130941232
USA,2004,912957611
Australia,2001,601799621
Canada,1990,881654870
Brazil,1990,965465533
UK,2007,579072752
India,1992,461263712
Canada,1994,866915605
Canada,2005,35618138
France,2010,815516252
UK,2005,112328264
USA,2015,858055483
China,1998,1115234579
China,1991,1315786211
Brazil,1991,331067471
Australia,1996,666653789
Brazil,2011,174149094
Japan,2006,1321419661
Germany,2016,1272402390
China,1990,432544559
Brazil,2023,386943252
China,1995,777641946
UK,2004,239680669
Germany,1992,542381964
USA,2016,1211922090
France,2014,462754083
India,1996,588452291
Germany,2024,252364078
Germany,2014,1455423529
Australia,2001,755347602
UK,1995,382023201
Germany,2012,840878916
Canada,2020,1111106085
Australia,2000,1498148282
Japan,1996,293280446
Brazil,2001,382004602
China,1999,1082264725
France,2008,1311017668
USA,1995,1454433636
India,2001,447895336
Australia,1991,356496324
Japan,1991,356249642
Germany,1995,434680170
Japan,2024,411573097
UK,1998,247144310
France,1998,1034991429
Australia,2009,348236853
Australia,1997,752697952
Germany,1992,1475649316
India,2018,492415027
Canada,2005,1295692788
Australia,1999,928045764
Australia,1997,1376421549
Japan,1991,736282318
Brazil,2021,1277081931
China,2018,473057179
Japan,2021,700013238
Canada,2002,1468906975
Japan,2006,770567996
India,2010,669502844
China,2009,1299839486
USA,1999,516645501
Canada,2024,458428104
France,2023,360097710
USA,2012,1195925391
China,2014,419734744
India,2010,47832400
China,2016,1086487396
India,2003,474164756
Australia,2011,1332217986
UK,1990,1131537083
Japan,2023,1277287857
Germany,1992,1194853308
Japan,2017,823377389
India,2015,396864004
France,2022,116910106
Germany,1997,17988748
Germany,2007,701452829
France,2020,1415951695
China,1994,796710494
UK,2001,988838364
India,2011,741997546
USA,1999,206284350
Japan,1991,349171705
France,1991,716325073
India,1993,255908902
Brazil,1990,698303444
UK,2011,108780749
USA,2017,715246661
Brazil,1995,333212167
Canada,2017,955024116
India,2003,1060329734
USA,2001,1026180099
Brazil,2010,1024168902
Brazil,2019,893665434
France,2024,849205867
Germany,2015,274234531
Germany,1996,1315750488
Canada,2003,166478544
Germany,2021,319231947
India,2018,788201278
France,2004,311139885
Brazil,1995,763354246
Germany,2023,1453122430
Germany,2007,1110967661
France,2014,1138005394
UK,2021,387749612
India,1997,604355108
